,R03_sales,R06_sales,N02BE_sales,resp_index,flu_index,flu_lag_2,R03_log,R03_log_diff
2018-07-02,41.0,33.5,136.45,74.5,95.0,138.66666666666666,3.7376696182833684,0.27193371548364187
2018-07-09,11.0,23.4,189.4,34.4,90.66666666666667,111.0,2.4849066497880004,-1.252762968495368
2018-07-16,24.0,29.0,165.6,53.0,92.66666666666667,95.0,3.2188758248682006,0.7339691750802002
2018-07-23,4.0,25.3,126.9,29.3,91.0,90.66666666666667,1.6094379124341003,-1.6094379124341003
2018-07-30,9.0,29.3,106.0,38.3,89.0,92.66666666666667,2.302585092994046,0.6931471805599456
2018-08-06,13.0,23.0,147.788,36.0,84.33333333333333,91.0,2.639057329615259,0.33647223662121295
2018-08-13,28.0,20.0,169.85,48.0,81.66666666666667,89.0,3.367295829986474,0.7282385003712153
2018-08-20,79.0,24.8,223.1,103.8,104.33333333333333,84.33333333333333,4.382026634673881,1.014730804687407
2018-08-27,36.0,17.0,165.1,53.0,125.0,81.66666666666667,3.6109179126442243,-0.7711087220296569
2018-09-03,43.0,21.7,223.2,64.7,168.33333333333334,104.33333333333333,3.784189633918261,0.17327172127403667
2018-09-10,42.0,17.4,253.55,59.4,202.66666666666666,125.0,3.7612001156935624,-0.022989518224698635
2018-09-17,47.0,28.0,222.162,75.0,243.0,168.33333333333334,3.8712010109078907,0.11000089521432832
2018-09-24,67.0,17.0,320.35,84.0,259.6666666666667,202.66666666666666,4.219507705176107,0.34830669426821625
2018-10-01,63.0,9.1,262.95,72.1,294.0,243.0,4.1588830833596715,-0.060624621816435464
2018-10-08,56.0,22.0,239.5,78.0,334.0,259.6666666666667,4.04305126783455,-0.11583181552512123
2018-10-15,67.0,25.0,241.0,92.0,416.3333333333333,294.0,4.219507705176107,0.1764564373415567
2018-10-22,116.0,14.8,300.725,130.8,488.3333333333333,334.0,4.762173934797756,0.5426662296216493
2018-10-29,46.0,12.3,240.1,58.3,561.3333333333334,416.3333333333333,3.8501476017100584,-0.9120263330876979
2018-11-05,93.0,8.9,255.85,101.9,666.3333333333334,488.3333333333333,4.543294782270004,0.6931471805599454
2018-11-12,100.0,7.4,236.1,107.4,802.0,561.3333333333334,4.61512051684126,0.07182573457125585
2018-11-19,67.0,11.3,201.0,78.3,1019.0,666.3333333333334,4.219507705176107,-0.3956128116651527
2018-11-26,70.0,24.5,253.9,94.5,1253.3333333333333,802.0,4.2626798770413155,0.0431721718652085
2018-12-03,56.0,9.0,222.6,65.0,1692.0,1019.0,4.04305126783455,-0.2196286092067652
2018-12-10,98.0,10.8,249.7,108.8,2709.3333333333335,1253.3333333333333,4.59511985013459,0.5520685823000395
2018-12-17,58.0,9.0,240.6,67.0,4521.666666666667,1692.0,4.07753744390572,-0.5175824062288701
2018-12-24,96.0,10.3,349.85,106.3,6675.333333333333,2709.3333333333335,4.574710978503383,0.4971735345976631
2018-12-31,54.0,11.0,289.65,65.0,7594.0,4521.666666666667,4.007333185232471,-0.5673777932709116
2019-01-07,50.0,6.0,354.8,56.0,7638.0,6675.333333333333,3.9318256327243257,-0.07550755250814545
2019-01-14,121.0,13.0,384.05,134.0,7670.333333333333,7594.0,4.804021044733257,0.872195412008931
2019-01-21,93.0,9.0,478.3,102.0,8904.666666666666,7638.0,4.543294782270004,-0.2607262624632529
2019-01-28,131.0,13.7,348.562,144.7,11060.333333333334,7670.333333333333,4.882801922586371,0.33950714031636675
2019-02-04,62.0,15.7,297.45,77.7,13693.666666666666,8904.666666666666,4.143134726391533,-0.739667196194838
2019-02-11,35.0,16.6,249.912,51.6,15757.333333333334,11060.333333333334,3.58351893845611,-0.5596157879354227
2019-02-18,31.0,13.3,204.0,44.3,17008.666666666668,13693.666666666666,3.4657359027997265,-0.11778303565638337
2019-02-25,57.0,23.9,187.8,80.9,17150.666666666668,15757.333333333334,4.060443010546419,0.5947071077466926
2019-03-04,26.0,32.6,231.9,58.6,17143.0,17008.666666666668,3.295836866004329,-0.76460614454209
2019-03-11,88.0,32.0,251.45,120.0,17035.666666666668,17150.666666666668,4.48863636973214,1.1927995037278105
2019-03-18,74.0,48.0,196.6,122.0,15727.666666666666,17143.0,4.31748811353631,-0.17114825619582952
2019-03-25,53.0,49.5,172.9,102.5,13436.666666666666,17035.666666666668,3.9889840465642745,-0.3285040669720356
2019-04-01,51.0,57.6,173.35,108.6,10074.333333333334,15727.666666666666,3.9512437185814275,-0.03774032798284699
2019-04-08,42.0,40.5,125.5,82.5,7256.666666666667,13436.666666666666,3.7612001156935624,-0.19004360288786515
2019-04-15,36.0,33.2,117.9,69.2,4897.0,10074.333333333334,3.6109179126442243,-0.15028220304933804
2019-04-22,62.0,36.4,181.3,98.4,3217.6666666666665,7256.666666666667,4.143134726391533,0.5322168137473082
2019-04-29,64.0,45.4,157.6,109.4,2037.0,4897.0,4.174387269895637,0.031252543504104224
2019-05-06,123.0,24.0,149.1,147.0,1342.6666666666667,3217.6666666666665,4.820281565605037,0.6458942957094003
2019-05-13,61.29166667,23.4,160.0,84.69166666999999,983.3333333333334,2037.0,4.131827655530353,-0.688453910074684
2019-05-20,65.0,34.0,194.4,99.0,786.0,1342.6666666666667,4.189654742026425,0.057827086496072155
2019-05-27,27.0,28.0,141.462,55.0,677.6666666666666,983.3333333333334,3.332204510175204,-0.8574502318512214
2019-06-03,45.0,28.1,157.6,73.1,577.3333333333334,786.0,3.828641396489095,0.49643688631389127
2019-06-10,23.0,57.0,123.6,80.0,480.0,677.6666666666666,3.1780538303479458,-0.6505875661411493
2019-06-17,32.0,35.94,148.5,67.94,385.0,577.3333333333334,3.4965075614664802,0.3184537311185345
2019-06-24,28.0,27.0,130.9,55.0,316.0,480.0,3.367295829986474,-0.1292117314800061
2019-07-01,17.0,28.8,132.05,45.8,292.6666666666667,385.0,2.8903717578961645,-0.4769240720903096
2019-07-08,15.0,21.0,149.6,36.0,277.3333333333333,316.0,2.772588722239781,-0.11778303565638337
2019-07-15,15.0,28.0,149.2,43.0,273.3333333333333,292.6666666666667,2.772588722239781,0.0
2019-07-22,30.0,18.4,124.375,48.4,256.0,277.3333333333333,3.4339872044851463,0.6613984822453651
2019-07-29,48.0,19.7,156.45,67.7,256.0,273.3333333333333,3.8918202981106265,0.4578330936254802
2019-08-05,66.0,20.0,86.25,86.0,241.33333333333334,256.0,4.204692619390966,0.31287232128033926
2019-08-12,35.0,23.0,125.0,58.0,246.0,256.0,3.58351893845611,-0.6211736809348558
2019-08-19,24.0,20.5,115.45,44.5,264.0,241.33333333333334,3.2188758248682006,-0.36464311358790935
2019-08-26,15.0,27.1,117.4,42.1,339.3333333333333,246.0,2.772588722239781,-0.4462871026284194
2019-09-02,15.0,28.5,154.755,43.5,409.0,264.0,2.772588722239781,0.0
2019-09-09,30.0,30.5,178.375,60.5,466.6666666666667,339.3333333333333,3.4339872044851463,0.6613984822453651
2019-09-16,26.0,21.0,248.25,47.0,504.0,409.0,3.295836866004329,-0.13815033848081715
2019-09-23,40.41666667,23.1,336.7,63.51666667,554.3333333333334,466.6666666666667,3.7236833763891113,0.42784651038478216
2019-09-30,30.0,12.13,249.45,42.13,538.3333333333334,504.0,3.4339872044851463,-0.289696171903965
2019-10-07,12.0,1.0,95.1,13.0,526.3333333333334,554.3333333333334,2.5649493574615367,-0.8690378470236095
